geo_code,pos,ws,maps,country,prov,city,district
ybm3,"[131.30859375, 46.669921875]","131.30859375,46.669921875","中国,黑龙江省,双鸭山市,四方台区",中国,黑龙江省,双鸭山市,四方台区
wxze,"[123.22265625, 44.208984375]","123.22265625,44.208984375","中国,内蒙古自治区,通辽市,科尔沁左翼中旗",中国,内蒙古自治区,通辽市,科尔沁左翼中旗
wtm9,"[120.41015625, 29.794921875]","120.41015625,29.794921875","中国,浙江省,绍兴市,诸暨市",中国,浙江省,绍兴市,诸暨市
wsbq,"[113.02734375, 27.861328125]","113.02734375,27.861328125","中国,湖南省,湘潭市,岳塘区",中国,湖南省,湘潭市,岳塘区
wmd6,"[104.58984375, 31.376953125]","104.58984375,31.376953125","中国,四川省,德阳市,罗江区",中国,四川省,德阳市,罗江区
ww0f,"[113.73046875, 34.189453125]","113.73046875,34.189453125","中国,河南省,许昌市,长葛市",中国,河南省,许昌市,长葛市
wt4q,"[115.83984375, 29.267578125]","115.83984375,29.267578125","中国,江西省,九江市,共青城市",中国,江西省,九江市,共青城市
yb3s,"[126.03515625, 47.197265625]","126.03515625,47.197265625","中国,黑龙江省,绥化市,明水县",中国,黑龙江省,绥化市,明水县
wzdh,"[126.73828125, 42.978515625]","126.73828125,42.978515625","中国,吉林省,吉林市,桦甸市",中国,吉林省,吉林市,桦甸市
wm4s,"[104.94140625, 28.916015625]","104.94140625,28.916015625","中国,四川省,宜宾市,南溪区",中国,四川省,宜宾市,南溪区
wsu1,"[118.30078125, 26.982421875]","118.30078125,26.982421875","中国,福建省,南平市,建瓯市",中国,福建省,南平市,建瓯市
y8n6,"[121.46484375, 45.439453125]","121.46484375,45.439453125","中国,内蒙古自治区,兴安盟,突泉县",中国,内蒙古自治区,兴安盟,突泉县
wky8,"[110.56640625, 26.806640625]","110.56640625,26.806640625","中国,湖南省,邵阳市,武冈市",中国,湖南省,邵阳市,武冈市
wxw0,"[121.11328125, 42.275390625]","121.11328125,42.275390625","中国,辽宁省,阜新市,阜新蒙古族自治县",中国,辽宁省,阜新市,阜新蒙古族自治县
y8wp,"[121.11328125, 49.130859375]","121.11328125,49.130859375","中国,内蒙古自治区,呼伦贝尔市,牙克石市",中国,内蒙古自治区,呼伦贝尔市,牙克石市
wtsk,"[118.65234375, 31.728515625]","118.65234375,31.728515625","中国,安徽省,马鞍山市,花山区",中国,安徽省,马鞍山市,花山区
wkzu,"[112.32421875, 27.509765625]","112.32421875,27.509765625","中国,湖南省,湘潭市,湘乡市",中国,湖南省,湘潭市,湘乡市
wkx8,"[111.97265625, 25.400390625]","111.97265625,25.400390625","中国,湖南省,永州市,宁远县",中国,湖南省,永州市,宁远县
wj2b,"[91.23046875, 29.619140625]","91.23046875,29.619140625","中国,西藏自治区,拉萨市,城关区",中国,西藏自治区,拉萨市,城关区
wm57,"[105.99609375, 28.740234375]","105.99609375,28.740234375","中国,贵州省,遵义市,赤水市",中国,贵州省,遵义市,赤水市
wm48,"[104.94140625, 28.212890625]","104.94140625,28.212890625","中国,四川省,宜宾市,兴文县",中国,四川省,宜宾市,兴文县
wtgz,"[117.94921875, 33.662109375]","117.94921875,33.662109375","中国,安徽省,宿州市,泗县",中国,安徽省,宿州市,泗县
wwt9,"[120.41015625, 36.826171875]","120.41015625,36.826171875","中国,山东省,青岛市,莱西市",中国,山东省,青岛市,莱西市
wdpw,"[123.22265625, 12.392578125]","123.22265625,12.392578125","[],[],[],[]",[],[],[],[]
ws06,"[113.02734375, 22.939453125]","113.02734375,22.939453125","中国,广东省,佛山市,禅城区",中国,广东省,佛山市,禅城区
ws0q,"[113.02734375, 23.642578125]","113.02734375,23.642578125","中国,广东省,清远市,清城区",中国,广东省,清远市,清城区
wkjj,"[108.45703125, 23.466796875]","108.45703125,23.466796875","中国,广西壮族自治区,南宁市,武鸣区",中国,广西壮族自治区,南宁市,武鸣区
wm3s,"[103.53515625, 30.322265625]","103.53515625,30.322265625","中国,四川省,成都市,蒲江县",中国,四川省,成都市,蒲江县
wtjj,"[119.70703125, 29.091796875]","119.70703125,29.091796875","中国,浙江省,金华市,金东区",中国,浙江省,金华市,金东区
wqtm,"[108.80859375, 37.529296875]","108.80859375,37.529296875","中国,陕西省,榆林市,靖边县",中国,陕西省,榆林市,靖边县
wk5x,"[106.34765625, 23.818359375]","106.34765625,23.818359375","中国,广西壮族自治区,百色市,右江区",中国,广西壮族自治区,百色市,右江区
wtcg,"[115.13671875, 32.958984375]","115.13671875,32.958984375","中国,安徽省,阜阳市,临泉县",中国,安徽省,阜阳市,临泉县
wm6d,"[104.94140625, 29.970703125]","104.94140625,29.970703125","中国,四川省,内江市,资中县",中国,四川省,内江市,资中县
ws43,"[115.83984375, 22.763671875]","115.83984375,22.763671875","中国,广东省,汕尾市,陆丰市",中国,广东省,汕尾市,陆丰市
wtsj,"[118.30078125, 31.904296875]","118.30078125,31.904296875","中国,安徽省,马鞍山市,和县",中国,安徽省,马鞍山市,和县
ws4s,"[116.19140625, 23.291015625]","116.19140625,23.291015625","中国,广东省,揭阳市,普宁市",中国,广东省,揭阳市,普宁市
wwsr,"[118.65234375, 37.880859375]","118.65234375,37.880859375","中国,山东省,东营市,河口区",中国,山东省,东营市,河口区
y8v0,"[119.70703125, 49.306640625]","119.70703125,49.306640625","中国,内蒙古自治区,呼伦贝尔市,陈巴尔虎旗",中国,内蒙古自治区,呼伦贝尔市,陈巴尔虎旗
ww51,"[116.89453125, 34.013671875]","116.89453125,34.013671875","中国,安徽省,淮北市,杜集区",中国,安徽省,淮北市,杜集区
wsb0,"[112.67578125, 26.806640625]","112.67578125,26.806640625","中国,湖南省,衡阳市,珠晖区",中国,湖南省,衡阳市,珠晖区
w7q1,"[109.86328125, 18.544921875]","109.86328125,18.544921875","中国,海南省,[],陵水黎族自治县",中国,海南省,[],陵水黎族自治县
wtm1,"[119.70703125, 29.794921875]","119.70703125,29.794921875","中国,浙江省,杭州市,桐庐县",中国,浙江省,杭州市,桐庐县
wwc2,"[114.43359375, 38.056640625]","114.43359375,38.056640625","中国,河北省,石家庄市,桥西区",中国,河北省,石家庄市,桥西区
wtq3,"[121.46484375, 29.794921875]","121.46484375,29.794921875","中国,浙江省,宁波市,海曙区",中国,浙江省,宁波市,海曙区
yb31,"[125.33203125, 46.669921875]","125.33203125,46.669921875","中国,黑龙江省,绥化市,安达市",中国,黑龙江省,绥化市,安达市
ws4t,"[116.19140625, 23.466796875]","116.19140625,23.466796875","中国,广东省,揭阳市,普宁市",中国,广东省,揭阳市,普宁市
wtw3,"[121.46484375, 31.201171875]","121.46484375,31.201171875","中国,上海市,[],徐汇区",中国,上海市,[],徐汇区
wxs8,"[119.00390625, 42.275390625]","119.00390625,42.275390625","中国,内蒙古自治区,赤峰市,红山区",中国,内蒙古自治区,赤峰市,红山区
wtsq,"[118.65234375, 32.080078125]","118.65234375,32.080078125","中国,江苏省,南京市,浦口区",中国,江苏省,南京市,浦口区
ws1y,"[115.13671875, 23.642578125]","115.13671875,23.642578125","中国,广东省,河源市,紫金县",中国,广东省,河源市,紫金县
wsem,"[117.24609375, 26.279296875]","117.24609375,26.279296875","中国,福建省,三明市,明溪县",中国,福建省,三明市,明溪县
wsvq,"[120.05859375, 27.861328125]","120.05859375,27.861328125","中国,浙江省,温州市,文成县",中国,浙江省,温州市,文成县
wkv9,"[109.16015625, 26.982421875]","109.16015625,26.982421875","中国,贵州省,黔东南苗族侗族自治州,天柱县",中国,贵州省,黔东南苗族侗族自治州,天柱县
wkjg,"[109.51171875, 23.115234375]","109.51171875,23.115234375","中国,广西壮族自治区,贵港市,港北区",中国,广西壮族自治区,贵港市,港北区
wmdb,"[105.29296875, 31.025390625]","105.29296875,31.025390625","中国,四川省,遂宁市,射洪县",中国,四川省,遂宁市,射洪县
wmd7,"[104.58984375, 31.552734375]","104.58984375,31.552734375","中国,四川省,绵阳市,安州区",中国,四川省,绵阳市,安州区
wwcu,"[115.13671875, 38.759765625]","115.13671875,38.759765625","中国,河北省,保定市,望都县",中国,河北省,保定市,望都县
ww92,"[114.43359375, 36.650390625]","114.43359375,36.650390625","中国,河北省,邯郸市,复兴区",中国,河北省,邯郸市,复兴区
wmr7,"[111.62109375, 30.146484375]","111.62109375,30.146484375","中国,湖北省,荆州市,松滋市",中国,湖北省,荆州市,松滋市
wms9,"[107.75390625, 31.201171875]","107.75390625,31.201171875","中国,四川省,达州市,宣汉县",中国,四川省,达州市,宣汉县
wx4d,"[116.19140625, 39.814453125]","116.19140625,39.814453125","中国,北京市,[],丰台区",中国,北京市,[],丰台区
ws2p,"[112.67578125, 25.224609375]","112.67578125,25.224609375","中国,湖南省,郴州市,宜章县",中国,湖南省,郴州市,宜章县
wkjc,"[109.51171875, 22.763671875]","109.51171875,22.763671875","中国,广西壮族自治区,南宁市,横县",中国,广西壮族自治区,南宁市,横县
wm5h,"[105.64453125, 28.916015625]","105.64453125,28.916015625","中国,四川省,泸州市,江阳区",中国,四川省,泸州市,江阳区
wkqj,"[109.86328125, 24.873046875]","109.86328125,24.873046875","中国,广西壮族自治区,桂林市,永福县",中国,广西壮族自治区,桂林市,永福县
wmr8,"[111.97265625, 29.619140625]","111.97265625,29.619140625","中国,湖南省,常德市,澧县",中国,湖南省,常德市,澧县
wtw6,"[121.46484375, 31.376953125]","121.46484375,31.376953125","中国,上海市,[],宝山区",中国,上海市,[],宝山区
wxh1,"[118.30078125, 39.638671875]","118.30078125,39.638671875","中国,河北省,唐山市,开平区",中国,河北省,唐山市,开平区
wxvv,"[120.76171875, 44.560546875]","120.76171875,44.560546875","中国,内蒙古自治区,通辽市,扎鲁特旗",中国,内蒙古自治区,通辽市,扎鲁特旗
wqnr,"[110.21484375, 35.068359375]","110.21484375,35.068359375","中国,陕西省,渭南市,合阳县",中国,陕西省,渭南市,合阳县
wrnn,"[109.86328125, 40.517578125]","109.86328125,40.517578125","中国,内蒙古自治区,包头市,青山区",中国,内蒙古自治区,包头市,青山区
wtj3,"[120.05859375, 28.388671875]","120.05859375,28.388671875","中国,浙江省,丽水市,青田县",中国,浙江省,丽水市,青田县
wt7n,"[116.89453125, 30.673828125]","116.89453125,30.673828125","中国,安徽省,安庆市,怀宁县",中国,安徽省,安庆市,怀宁县
ws7w,"[117.59765625, 25.048828125]","117.59765625,25.048828125","中国,福建省,漳州市,华安县",中国,福建省,漳州市,华安县
ws80,"[112.67578125, 25.400390625]","112.67578125,25.400390625","中国,湖南省,郴州市,临武县",中国,湖南省,郴州市,临武县
wtg1,"[116.89453125, 32.607421875]","116.89453125,32.607421875","中国,安徽省,淮南市,谢家集区",中国,安徽省,淮南市,谢家集区
wwh3,"[118.65234375, 34.013671875]","118.65234375,34.013671875","中国,江苏省,宿迁市,沭阳县",中国,江苏省,宿迁市,沭阳县
wkzf,"[112.32421875, 27.158203125]","112.32421875,27.158203125","中国,湖南省,衡阳市,衡阳县",中国,湖南省,衡阳市,衡阳县
wqgd,"[106.34765625, 38.408203125]","106.34765625,38.408203125","中国,宁夏回族自治区,银川市,兴庆区",中国,宁夏回族自治区,银川市,兴庆区
wtsw,"[119.00390625, 32.080078125]","119.00390625,32.080078125","中国,江苏省,南京市,栖霞区",中国,江苏省,南京市,栖霞区
w7yz,"[110.91796875, 22.412109375]","110.91796875,22.412109375","中国,广东省,茂名市,信宜市",中国,广东省,茂名市,信宜市
wtjh,"[119.70703125, 28.916015625]","119.70703125,28.916015625","中国,浙江省,金华市,武义县",中国,浙江省,金华市,武义县
w7w6,"[110.21484375, 20.126953125]","110.21484375,20.126953125","中国,[],[],[]",中国,[],[],[]
wsu9,"[119.00390625, 26.982421875]","119.00390625,26.982421875","中国,福建省,宁德市,屏南县",中国,福建省,宁德市,屏南县
wx4f,"[116.54296875, 39.814453125]","116.54296875,39.814453125","中国,北京市,[],通州区",中国,北京市,[],通州区
ww7h,"[116.89453125, 35.947265625]","116.89453125,35.947265625","中国,山东省,泰安市,肥城市",中国,山东省,泰安市,肥城市
wsv4,"[119.70703125, 27.158203125]","119.70703125,27.158203125","中国,福建省,宁德市,福安市",中国,福建省,宁德市,福安市
wqmb,"[109.51171875, 35.244140625]","109.51171875,35.244140625","中国,陕西省,渭南市,白水县",中国,陕西省,渭南市,白水县
wkx9,"[111.97265625, 25.576171875]","111.97265625,25.576171875","中国,湖南省,永州市,宁远县",中国,湖南省,永州市,宁远县
tzz6,"[89.12109375, 44.033203125]","89.12109375,44.033203125","中国,新疆维吾尔自治区,昌吉回族自治州,吉木萨尔县",中国,新疆维吾尔自治区,昌吉回族自治州,吉木萨尔县
wm4x,"[104.94140625, 29.443359375]","104.94140625,29.443359375","中国,四川省,内江市,市中区",中国,四川省,内江市,市中区
ws1h,"[114.08203125, 23.291015625]","114.08203125,23.291015625","中国,广东省,惠州市,博罗县",中国,广东省,惠州市,博罗县
ws4y,"[116.54296875, 23.642578125]","116.54296875,23.642578125","中国,广东省,潮州市,潮安区",中国,广东省,潮州市,潮安区
wtek,"[117.24609375, 31.728515625]","117.24609375,31.728515625","中国,安徽省,合肥市,包河区",中国,安徽省,合肥市,包河区
wkr6,"[111.62109375, 24.345703125]","111.62109375,24.345703125","中国,广西壮族自治区,贺州市,八步区",中国,广西壮族自治区,贺州市,八步区
whwb,"[99.66796875, 25.400390625]","99.66796875,25.400390625","中国,云南省,大理白族自治州,永平县",中国,云南省,大理白族自治州,永平县
ws07,"[113.02734375, 23.115234375]","113.02734375,23.115234375","中国,广东省,佛山市,南海区",中国,广东省,佛山市,南海区
wm6s,"[104.94140625, 30.322265625]","104.94140625,30.322265625","中国,四川省,资阳市,乐至县",中国,四川省,资阳市,乐至县
ww8p,"[112.67578125, 37.880859375]","112.67578125,37.880859375","中国,山西省,太原市,迎泽区",中国,山西省,太原市,迎泽区
ww9z,"[115.13671875, 37.880859375]","115.13671875,37.880859375","中国,河北省,石家庄市,晋州市",中国,河北省,石家庄市,晋州市
wt30,"[114.08203125, 29.619140625]","114.08203125,29.619140625","中国,湖北省,咸宁市,崇阳县",中国,湖北省,咸宁市,崇阳县
wwe0,"[116.89453125, 36.650390625]","116.89453125,36.650390625","中国,山东省,济南市,槐荫区",中国,山东省,济南市,槐荫区
wm3y,"[103.88671875, 30.673828125]","103.88671875,30.673828125","中国,四川省,成都市,温江区",中国,四川省,成都市,温江区
ws0t,"[113.37890625, 23.466796875]","113.37890625,23.466796875","中国,广东省,广州市,花都区",中国,广东省,广州市,花都区
ws2r,"[113.02734375, 25.224609375]","113.02734375,25.224609375","中国,广东省,韶关市,乐昌市",中国,广东省,韶关市,乐昌市
wme9,"[106.34765625, 31.201171875]","106.34765625,31.201171875","中国,四川省,南充市,蓬安县",中国,四川省,南充市,蓬安县
wts0,"[118.30078125, 31.025390625]","118.30078125,31.025390625","中国,安徽省,芜湖市,繁昌县",中国,安徽省,芜湖市,繁昌县
wkdx,"[104.94140625, 26.630859375]","104.94140625,26.630859375","中国,贵州省,六盘水市,钟山区",中国,贵州省,六盘水市,钟山区
wx4g,"[116.54296875, 39.990234375]","116.54296875,39.990234375","中国,北京市,[],朝阳区",中国,北京市,[],朝阳区
wmkj,"[107.05078125, 30.498046875]","107.05078125,30.498046875","中国,四川省,广安市,邻水县",中国,四川省,广安市,邻水县
ws3c,"[115.13671875, 24.169921875]","115.13671875,24.169921875","中国,广东省,河源市,龙川县",中国,广东省,河源市,龙川县
wkxx,"[111.97265625, 26.630859375]","111.97265625,26.630859375","中国,湖南省,永州市,祁阳县",中国,湖南省,永州市,祁阳县
ww2v,"[113.73046875, 36.123046875]","113.73046875,36.123046875","中国,河南省,安阳市,林州市",中国,河南省,安阳市,林州市
wt7w,"[117.59765625, 30.673828125]","117.59765625,30.673828125","中国,安徽省,池州市,贵池区",中国,安徽省,池州市,贵池区
wme1,"[105.64453125, 31.201171875]","105.64453125,31.201171875","中国,四川省,绵阳市,盐亭县",中国,四川省,绵阳市,盐亭县
wwer,"[117.24609375, 37.880859375]","117.24609375,37.880859375","中国,河北省,沧州市,盐山县",中国,河北省,沧州市,盐山县
ww5j,"[116.89453125, 34.716796875]","116.89453125,34.716796875","中国,江苏省,徐州市,沛县",中国,江苏省,徐州市,沛县
wm3d,"[103.53515625, 29.970703125]","103.53515625,29.970703125","中国,四川省,眉山市,丹棱县",中国,四川省,眉山市,丹棱县
wrnc,"[110.91796875, 39.638671875]","110.91796875,39.638671875","中国,内蒙古自治区,鄂尔多斯市,准格尔旗",中国,内蒙古自治区,鄂尔多斯市,准格尔旗
wsb8,"[113.37890625, 26.806640625]","113.37890625,26.806640625","中国,湖南省,株洲市,攸县",中国,湖南省,株洲市,攸县
wt02,"[113.02734375, 28.212890625]","113.02734375,28.212890625","中国,湖南省,长沙市,芙蓉区",中国,湖南省,长沙市,芙蓉区
wxyb,"[122.16796875, 43.681640625]","122.16796875,43.681640625","中国,内蒙古自治区,通辽市,科尔沁区",中国,内蒙古自治区,通辽市,科尔沁区
wkr5,"[111.26953125, 24.521484375]","111.26953125,24.521484375","中国,广西壮族自治区,贺州市,钟山县",中国,广西壮族自治区,贺州市,钟山县
ww8n,"[112.67578125, 37.705078125]","112.67578125,37.705078125","中国,山西省,晋中市,榆次区",中国,山西省,晋中市,榆次区
wk8k,"[101.77734375, 26.103515625]","101.77734375,26.103515625","中国,云南省,楚雄彝族自治州,永仁县",中国,云南省,楚雄彝族自治州,永仁县
wtwj,"[121.11328125, 31.904296875]","121.11328125,31.904296875","中国,江苏省,南通市,海门市",中国,江苏省,南通市,海门市
wsk5,"[118.30078125, 24.521484375]","118.30078125,24.521484375","中国,[],[],[]",中国,[],[],[]
wrr2,"[111.62109375, 40.869140625]","111.62109375,40.869140625","中国,内蒙古自治区,呼和浩特市,回民区",中国,内蒙古自治区,呼和浩特市,回民区
wxy0,"[121.11328125, 43.681640625]","121.11328125,43.681640625","中国,内蒙古自治区,通辽市,开鲁县",中国,内蒙古自治区,通辽市,开鲁县
wwe2,"[117.24609375, 36.650390625]","117.24609375,36.650390625","中国,山东省,济南市,历城区",中国,山东省,济南市,历城区
wqpg,"[112.32421875, 34.365234375]","112.32421875,34.365234375","中国,河南省,洛阳市,伊川县",中国,河南省,洛阳市,伊川县
ww56,"[117.24609375, 34.189453125]","117.24609375,34.189453125","中国,江苏省,徐州市,云龙区",中国,江苏省,徐州市,云龙区
wssk,"[118.65234375, 26.103515625]","118.65234375,26.103515625","中国,福建省,福州市,闽清县",中国,福建省,福州市,闽清县
wtdp,"[115.48828125, 32.255859375]","115.48828125,32.255859375","中国,河南省,信阳市,固始县",中国,河南省,信阳市,固始县
tzuw,"[85.25390625, 44.736328125]","85.25390625,44.736328125","中国,新疆维吾尔自治区,塔城地区,沙湾县",中国,新疆维吾尔自治区,塔城地区,沙湾县
wmuj,"[107.05078125, 33.310546875]","107.05078125,33.310546875","中国,陕西省,汉中市,城固县",中国,陕西省,汉中市,城固县
ws17,"[114.43359375, 23.115234375]","114.43359375,23.115234375","中国,广东省,惠州市,惠城区",中国,广东省,惠州市,惠城区
wwef,"[117.94921875, 37.001953125]","117.94921875,37.001953125","中国,山东省,淄博市,桓台县",中国,山东省,淄博市,桓台县
wtk1,"[118.30078125, 29.794921875]","118.30078125,29.794921875","中国,安徽省,黄山市,徽州区",中国,安徽省,黄山市,徽州区
wtg5,"[116.89453125, 32.958984375]","116.89453125,32.958984375","中国,安徽省,蚌埠市,怀远县",中国,安徽省,蚌埠市,怀远县
wk2c,"[102.48046875, 24.169921875]","102.48046875,24.169921875","中国,云南省,玉溪市,峨山彝族自治县",中国,云南省,玉溪市,峨山彝族自治县
wrn4,"[109.86328125, 39.814453125]","109.86328125,39.814453125","中国,内蒙古自治区,鄂尔多斯市,东胜区",中国,内蒙古自治区,鄂尔多斯市,东胜区
wtg7,"[117.24609375, 32.958984375]","117.24609375,32.958984375","中国,安徽省,蚌埠市,怀远县",中国,安徽省,蚌埠市,怀远县
wts6,"[118.65234375, 31.376953125]","118.65234375,31.376953125","中国,安徽省,马鞍山市,当涂县",中国,安徽省,马鞍山市,当涂县
wqju,"[109.51171875, 34.541015625]","109.51171875,34.541015625","中国,陕西省,渭南市,临渭区",中国,陕西省,渭南市,临渭区
wxky,"[119.35546875, 41.923828125]","119.35546875,41.923828125","中国,辽宁省,朝阳市,建平县",中国,辽宁省,朝阳市,建平县
ww0y,"[113.73046875, 34.892578125]","113.73046875,34.892578125","中国,河南省,郑州市,惠济区",中国,河南省,郑州市,惠济区
wrp4,"[111.26953125, 39.814453125]","111.26953125,39.814453125","中国,内蒙古自治区,鄂尔多斯市,准格尔旗",中国,内蒙古自治区,鄂尔多斯市,准格尔旗
wwk9,"[119.00390625, 35.419921875]","119.00390625,35.419921875","中国,山东省,日照市,岚山区",中国,山东省,日照市,岚山区
wthn,"[118.30078125, 29.267578125]","118.30078125,29.267578125","中国,浙江省,衢州市,开化县",中国,浙江省,衢州市,开化县
wx4e,"[116.19140625, 39.990234375]","116.19140625,39.990234375","中国,北京市,[],海淀区",中国,北京市,[],海淀区
wt7z,"[117.94921875, 30.849609375]","117.94921875,30.849609375","中国,安徽省,铜陵市,义安区",中国,安徽省,铜陵市,义安区
wtqf,"[122.16796875, 29.970703125]","122.16796875,29.970703125","中国,浙江省,舟山市,定海区",中国,浙江省,舟山市,定海区
ww93,"[114.43359375, 36.826171875]","114.43359375,36.826171875","中国,河北省,邯郸市,永年区",中国,河北省,邯郸市,永年区
wkzv,"[112.32421875, 27.685546875]","112.32421875,27.685546875","中国,湖南省,湘潭市,湘乡市",中国,湖南省,湘潭市,湘乡市
wq5h,"[105.64453125, 34.541015625]","105.64453125,34.541015625","中国,甘肃省,天水市,秦州区",中国,甘肃省,天水市,秦州区
w7z5,"[111.26953125, 21.708984375]","111.26953125,21.708984375","中国,广东省,茂名市,电白区",中国,广东省,茂名市,电白区
wwhp,"[118.30078125, 35.068359375]","118.30078125,35.068359375","中国,山东省,临沂市,兰山区",中国,山东省,临沂市,兰山区
ww5x,"[117.59765625, 35.068359375]","117.59765625,35.068359375","中国,山东省,枣庄市,山亭区",中国,山东省,枣庄市,山亭区
wt4b,"[116.54296875, 28.212890625]","116.54296875,28.212890625","中国,江西省,抚州市,东乡区",中国,江西省,抚州市,东乡区
wtq6,"[121.46484375, 29.970703125]","121.46484375,29.970703125","中国,浙江省,宁波市,江北区",中国,浙江省,宁波市,江北区
wwf1,"[115.48828125, 38.232421875]","115.48828125,38.232421875","中国,河北省,衡水市,安平县",中国,河北省,衡水市,安平县
wt7j,"[116.89453125, 30.498046875]","116.89453125,30.498046875","中国,安徽省,安庆市,大观区",中国,安徽省,安庆市,大观区
wwt7,"[120.05859375, 37.177734375]","120.05859375,37.177734375","中国,山东省,烟台市,莱州市",中国,山东省,烟台市,莱州市
wtfj,"[115.48828125, 33.310546875]","115.48828125,33.310546875","中国,安徽省,阜阳市,太和县",中国,安徽省,阜阳市,太和县
wskh,"[118.30078125, 24.697265625]","118.30078125,24.697265625","中国,福建省,厦门市,翔安区",中国,福建省,厦门市,翔安区
y8th,"[119.70703125, 48.603515625]","119.70703125,48.603515625","中国,内蒙古自治区,呼伦贝尔市,鄂温克族自治旗",中国,内蒙古自治区,呼伦贝尔市,鄂温克族自治旗
ws44,"[115.48828125, 22.939453125]","115.48828125,22.939453125","中国,广东省,汕尾市,陆丰市",中国,广东省,汕尾市,陆丰市
wkgf,"[106.69921875, 27.158203125]","106.69921875,27.158203125","中国,贵州省,贵阳市,息烽县",中国,贵州省,贵阳市,息烽县
wt5f,"[117.94921875, 28.564453125]","117.94921875,28.564453125","中国,江西省,上饶市,广信区",中国,江西省,上饶市,广信区
ws3e,"[114.78515625, 24.521484375]","114.78515625,24.521484375","中国,广东省,河源市,和平县",中国,广东省,河源市,和平县
ws0e,"[113.37890625, 23.115234375]","113.37890625,23.115234375","中国,广东省,广州市,天河区",中国,广东省,广州市,天河区
wtqn,"[121.11328125, 30.673828125]","121.11328125,30.673828125","中国,浙江省,嘉兴市,平湖市",中国,浙江省,嘉兴市,平湖市
wweg,"[117.94921875, 37.177734375]","117.94921875,37.177734375","中国,山东省,淄博市,高青县",中国,山东省,淄博市,高青县
tzy4,"[87.36328125, 44.033203125]","87.36328125,44.033203125","中国,新疆维吾尔自治区,昌吉回族自治州,昌吉市",中国,新疆维吾尔自治区,昌吉回族自治州,昌吉市
wmpd,"[111.97265625, 28.564453125]","111.97265625,28.564453125","中国,湖南省,益阳市,桃江县",中国,湖南省,益阳市,桃江县
y8xe,"[123.22265625, 48.427734375]","123.22265625,48.427734375","中国,内蒙古自治区,呼伦贝尔市,阿荣旗",中国,内蒙古自治区,呼伦贝尔市,阿荣旗
wmsk,"[107.40234375, 31.728515625]","107.40234375,31.728515625","中国,四川省,巴中市,平昌县",中国,四川省,巴中市,平昌县
yb0c,"[124.98046875, 45.263671875]","124.98046875,45.263671875","中国,吉林省,松原市,宁江区",中国,吉林省,松原市,宁江区
wwbz,"[113.73046875, 39.287109375]","113.73046875,39.287109375","中国,山西省,忻州市,繁峙县",中国,山西省,忻州市,繁峙县
y8n2,"[121.46484375, 45.087890625]","121.46484375,45.087890625","中国,内蒙古自治区,兴安盟,科尔沁右翼中旗",中国,内蒙古自治区,兴安盟,科尔沁右翼中旗
wtn5,"[121.11328125, 28.740234375]","121.11328125,28.740234375","中国,浙江省,台州市,临海市",中国,浙江省,台州市,临海市
wwdp,"[115.48828125, 37.880859375]","115.48828125,37.880859375","中国,河北省,衡水市,深州市",中国,河北省,衡水市,深州市
wtjt,"[120.41015625, 29.091796875]","120.41015625,29.091796875","中国,浙江省,金华市,东阳市",中国,浙江省,金华市,东阳市
